"","mean","se_mean","sd","10%","90%","n_eff","Rhat"
"lambda[67]",33.0962570925,0.216905886140192,14.0291599966396,18.22287,50.66207,4183.31590037197,1.00022815428993
"lambda[68]",27.337694445,0.114557537168101,7.89642818308455,18.36906,37.33692,4751.31739735005,0.99961823675165
"lambda[69]",8.41238442,0.0381143814601511,2.73210801064762,5.143584,12.00875,5138.28248878301,0.99935229939043
"lambda[70]",6.0471298875,0.151035579730952,3.96559458794087,3.645799,8.139889,689.379068059995,1.00521491009874
"lambda[71]",7.42859246,0.0245591222127296,1.94308884785061,5.111367,10.03856,6259.78818168222,1.00004903843137
"lambda[72]",14.2869947075,0.127587927982196,6.96098375268834,8.20286,21.58753,2976.61092238501,1.00071691615846
"lambda[73]",6.5323902675,0.159622321605192,4.72016263039814,3.919105,8.571673,874.433280699158,1.00382747696761
"lambda[74]",8.307546665,0.0303003877404894,2.22332475684448,5.608842,11.33119,5384.05435639898,0.999982847497439
"lambda[75]",6.05396446,0.515605166269096,6.31817531023761,3.357627,7.433713,150.15812050376,1.02691820962107
"lambda[76]",18.03373407,0.39882637204072,16.58225735399,3.689675,39.23596,1728.69973822027,1.00079896989142
"lambda[77]",9.044634515,0.0384201943907333,2.54796923910939,6.143503,12.10794,4398.14198334558,0.999380970540119
"lambda[78]",5.80427860825,0.0650499857612669,2.84583588862272,3.434044,8.471867,1913.92666090678,1.0022383696476
"lambda[79]",12.0778208825,0.0433190668944426,3.21251649988631,8.120612,16.25393,5499.61828754379,0.999370942687726
"lambda[80]",22.351407755,0.15461909621803,10.4566288656089,12.09734,34.04387,4573.58892112256,1.00091510757915
"lambda[81]",19.7080082025,0.106005009673682,6.94593055110641,11.6023,29.08421,4293.46664589416,1.00013284035783
"lambda[82]",15.73961397,0.0716165002100465,5.05291136741015,10.2395,22.03609,4978.02614261774,0.999569029012936
"lambda[83]",27.8487281325,0.96330386263247,25.0984684486812,2.231665,60.74894,678.840646471142,1.00594717168202
"lambda[84]",19.1007947475,0.2487277405578,13.0419164807639,6.870173,34.83431,2749.37753588199,1.00083738891445
"lambda[85]",10.178411335,0.0596033222938308,3.52215473571323,6.762773,13.77993,3492.01360454741,1.00012024960251
"lambda[86]",33.109940265,0.304428683711799,16.9144906005742,17.60061,51.75458,3087.07162778765,1.00394418274288
"lambda[87]",25.2922008675,0.235179801928434,12.7622205503076,13.06359,40.72502,2944.77725953175,1.00129328475362
"lambda[88]",10.7574178975,0.0419833232909064,3.23027330587085,6.893768,14.91087,5920.04367304993,0.999246602548602
"lambda[89]",15.1423594,0.139994328041606,7.84254685058053,8.172551,23.75909,3138.29209571442,1.00058981630031
"lambda[90]",16.7158109775,0.101871122430646,6.57111477179158,9.634107,24.71805,4160.79120508887,0.999830493408725
"lambda[91]",14.07392073,0.198610883703861,8.93443185280765,7.272146,22.37033,2023.61455142023,0.99993480736915
