"","mean","se_mean","sd","10%","90%","n_eff","Rhat"
"phi[25]",0.277517151825,0.0017269791829814,0.119221935465596,0.143803,0.4224118,4765.82543418459,0.999736178430419
"phi[26]",0.824014347385,0.00320956304301692,0.167917963763198,0.6085544,0.9736641,2737.17457406264,0.999801653897263
"phi[27]",0.82736719575,0.0448801619535882,0.329580942679173,0.01607774,0.9959671,53.9281289147491,1.09340164064234
"phi[28]",0.71581822539675,0.0253970680050251,0.388735622035017,0.01617773,0.9915121,234.283398298772,1.03659043862636
"phi[29]",0.404757180560925,0.106437715457797,0.476339508894218,0.002674997,0.9969302,20.0282092554626,1.17142571561052
"phi[30]",0.72998672251,0.0053686821457001,0.258129922376103,0.259854,0.9586795,2311.752400171,1.00330843044455
"phi[31]",0.89361402919525,0.0161383389359773,0.214660285001453,0.772293,0.9941755,176.923588214999,1.02614589731965
"phi[32]",0.7655300015325,0.00913928255342895,0.247220142829371,0.4344577,0.9675075,731.717593381654,1.00239983571165
"phi[33]",0.701299133475,0.00176677337443648,0.146649988178149,0.5095583,0.8826528,6889.73270235133,1.00096579549714
"phi[34]",0.1961730704325,0.00698198553385534,0.235313991006323,0.03035509,0.5366143,1135.89348875927,1.00425267113825
"phi[35]",0.30186070665,0.00151974915544967,0.109234683172791,0.1699928,0.4453217,5166.27220988579,0.999667073723106
"phi[36]",0.32555812123,0.00656904503847368,0.286626165585683,0.04016448,0.7894415,1903.82571574232,1.00076244965155
"phi[37]",0.636582137775,0.00237744030201435,0.185390083419435,0.3787761,0.8775673,6080.70253804031,0.999649702469353
"phi[38]",0.308115226675,0.00270780211508684,0.164866640606332,0.1291647,0.5328223,3707.07805976695,1.00099174331323
"phi[39]",0.146182078,0.00693196944014222,0.203916045198308,0.02761486,0.3185336,865.345462085323,1.00316636089201
"phi[40]",0.5632036508125,0.0039997421816137,0.261781684598952,0.1827915,0.8947854,4283.65533422346,1.00066511940711
"phi[41]",0.8899312103775,0.0121475360032847,0.182732749808216,0.7454446,0.9911879,226.285324660129,1.01465618420159
"phi[42]",0.67075718694,0.0102538149580397,0.330497490031389,0.06117112,0.972426,1038.87998557473,1.00421518969793
"phi[43]",0.345996061535,0.00695722692453122,0.22342206419708,0.1336416,0.6799029,1031.28756663712,1.00498138219491
"phi[44]",0.830949838849,0.0210904435192661,0.320462362499333,0.03558754,0.9960534,230.878044060295,1.022292717088
"phi[45]",0.77460841728,0.0041823922182921,0.205457948750097,0.4986583,0.9640128,2413.21702228354,1.00028677736151
"phi[46]",0.73555197628,0.00441224502809393,0.218117660080587,0.4170414,0.9457957,2443.78173901944,1.00051284755169
"phi[47]",0.341249910995,0.00697558718945113,0.297044506775676,0.0377549,0.843254,1813.34946270271,1.00428458632674
"phi[48]",0.2467478978,0.00146453399219087,0.108418340732104,0.1182158,0.3972889,5480.32861114268,1.00005070373104
"phi[49]",0.8368829212,0.00407660164942681,0.154870464192027,0.655258,0.969463,1443.24695006482,1.00074458323053
"phi[50]",0.7063551455,0.00172780863780758,0.144479286873644,0.5099059,0.8924896,6992.29748705345,1.00006634515602
"phi[51]",0.69764680165,0.00337404525114967,0.208155430346599,0.4110282,0.9347917,3806.04294896227,0.999736846683333
"phi[52]",0.87497552175,0.00173531956374174,0.112093614889477,0.7371617,0.9748942,4172.5622424444,1.00033232864024
"phi[53]",0.909179833935,0.0127458225986807,0.188865315678641,0.8400099,0.9932923,219.567814336982,1.01362275082938
"phi[54]",0.3270756073,0.00326279034181215,0.198773513957144,0.1051476,0.6167682,3711.40795689136,1.00036120053062
"phi[55]",0.91307539875,0.00117657011187279,0.0726825902870003,0.8181513,0.9809133,3816.14764549228,1.00159402478654
"phi[56]",0.5677909397675,0.00332494598867847,0.216204666702367,0.2740859,0.8495787,4228.25272885425,1.00035088111921
"phi[57]",0.19174131984,0.00263560948495854,0.136112423570983,0.04939646,0.365054,2667.06383397449,1.00068107863652
"phi[58]",0.343371862825,0.00322318093580153,0.20559534063363,0.113925,0.6498541,4068.71401500351,0.999983340945324
"phi[59]",0.736839766725,0.00232033322342616,0.153112742864013,0.5331456,0.9170619,4354.33618047656,0.999769539803581
"phi[60]",0.687265919775,0.00830831974064031,0.309660042243722,0.1039158,0.9750606,1389.13333729842,1.0040733186742
"phi[61]",0.471236225475,0.00445075124176929,0.266736585925453,0.1092485,0.8558437,3591.68741503507,1.00015658578865
"phi[62]",0.341309128275,0.00375880131288575,0.185926786989062,0.1432149,0.5922885,2446.72516524115,1.0026908079497
"phi[63]",0.57394098705,0.00450669284311028,0.253572498394448,0.2126074,0.9078544,3165.83576062,1.00127932467962
"phi[64]",0.36295944137,0.00353894018748303,0.204729074126018,0.1296556,0.6575962,3346.66775698186,0.99985309197343
"phi[65]",0.34620432885,0.00217212372115552,0.15955215669637,0.1552035,0.5631756,5395.55645657919,0.999420610645369
"phi[66]",0.12071755384,0.00338920301288699,0.140524992313947,0.02723014,0.2437578,1719.14287956594,1.00424661840103
"phi[67]",0.202016725275,0.00194729509279019,0.112751702415654,0.09191402,0.3451431,3352.60722811461,0.99966664128063
"phi[68]",0.303836104175,0.00160690950923419,0.117558006276044,0.1621382,0.4604213,5352.06750520506,0.999839971364766
