"","mean","se_mean","sd","10%","90%","n_eff","Rhat"
"lambda[21]",12.84502009,0.224652980231842,10.708477360215,6.133398,20.0191,2272.11901938541,1.00474630929218
"lambda[22]",11.7175227725,0.168687075657546,5.19066827140756,7.253374,16.063,946.853808513378,1.01009131338357
"lambda[23]",29.8362168375,0.395506686368082,17.3401137677592,15.27258,47.94137,1922.18960838705,1.0067191169246
"lambda[24]",17.251795025,0.134925417579041,7.08951752323663,10.3574,24.99018,2760.86911805712,1.00158577181324
"lambda[25]",9.8854063325,0.240668674734552,6.67839184102557,5.77945,14.02913,770.024707848413,1.00509601043301
"lambda[26]",10.3996970025,0.276563181665941,10.5386403552877,5.461999,13.93492,1452.04622530792,1.00558741448615
"lambda[27]",14.195228805,0.0534093210193574,3.61832734412242,9.865026,18.9535,4589.67141565544,1.00038067289773
"lambda[28]",29.6449342575,0.592203970487693,26.6311399051266,11.66929,56.071,2022.25949229206,1.00238763860854
"lambda[29]",44.68872699,0.945778582092358,38.6921856427308,12.5245,87.63288,1673.66130725248,1.00870303862585
"lambda[30]",42.0247048925,0.46117572906268,24.6353292929803,20.57424,67.72738,2853.53929518443,1.00531404410136
"lambda[31]",14.6983960775,0.0574234018317271,4.19688599859904,9.758841,20.29875,5341.66331376107,1.00016856715315
"lambda[32]",23.55354049,0.233150533533559,12.234022612269,13.17233,35.34674,2753.37731856392,1.00015970955521
"lambda[33]",26.6906277625,0.904426012881063,37.8349280444844,7.2169,58.28333,1750.0067944569,1.00186116454547
"lambda[34]",42.2352059125,0.785448117054949,37.9900087740234,14.69342,82.69146,2339.39620955875,1.00449434597956
"lambda[35]",11.4745244825,0.0378496881296245,3.01542167682226,7.874674,15.35133,6347.04378380924,0.999988703614674
"lambda[36]",15.75904783,0.503802026364715,18.7698154289507,5.522165,31.93725,1388.03425522715,1.00422563510852
"lambda[37]",31.513395485,0.160189699382435,10.4659358330626,20.33853,44.34295,4268.61476971151,1.00351209824724
"lambda[38]",10.29211252975,2.61955222064606,25.201921445187,2.529346,9.376176,92.5578346723643,1.03946320649993
"lambda[39]",23.9281375175,0.210824012294003,13.1695407393054,10.91259,39.69831,3902.12440799719,1.0008836970452
"lambda[40]",37.20278155,0.385428101914707,18.6410523274012,21.92865,55.93141,2339.12859771084,1.00396872525407
"lambda[41]",19.5123169925,0.0783194288788376,5.43957983622566,12.95141,26.7216,4823.82658639237,0.999635543846165
"lambda[42]",25.583316625,0.17576026595133,11.194273802106,14.4193,38.1413,4056.49035956833,0.999841607560727
"lambda[43]",61.9904388,1.33667919500855,27.4928025656686,36.03009,93.72731,423.042158769645,1.01873435420019
"lambda[44]",51.2175398725,0.808815463848189,24.3400781853026,28.57179,79.07123,905.617999897525,1.01410645284835
"lambda[45]",22.65174543725,2.02773486413698,52.7482997380364,2.94903,63.79081,676.697534361872,1.00757558629179
"lambda[46]",45.9621354425,0.59836185473722,25.3160164237014,22.87636,77.0187,1790.04083402736,1.01142834616252
"lambda[47]",11.80657035,0.247123304258585,10.9735032242612,5.590371,17.95253,1971.80147295453,1.00157079248261
"lambda[48]",32.68509896,0.164360396503457,10.0354703769429,21.06175,46.0068,3728.04465756904,1.0020304383358
"lambda[49]",7.4995984025,0.139910246661328,5.04666766229792,4.885436,10.08738,1301.0990739031,1.00274942795003
"lambda[50]",29.33019785,0.198768086696175,9.33628918377002,19.56243,39.62076,2206.25280914181,1.00416152002922
"lambda[51]",45.3984548,0.301816784407959,15.4804463267155,28.88674,63.29821,2630.7536423546,1.00508255306166
"lambda[52]",44.9752394525,0.625296721623309,32.1066881454445,18.87471,76.72084,2636.44500158874,1.00632795122666
"lambda[53]",19.482352765,0.217403606107333,11.3816890696508,9.799255,30.7792,2740.81641908537,1.00069278834174
"lambda[54]",52.19936635,0.977944702614734,33.0810804788615,24.17815,89.88714,1144.2759617168,1.01395796291281
"lambda[55]",56.8274885325,1.11996702489157,28.9169254744567,29.83688,90.12476,666.643669722852,1.01492078209068
"lambda[56]",22.0927472925,0.161040824393023,9.34565281249254,13.67998,31.62648,3367.80793613622,1.00024443135364
"lambda[57]",71.6944512715,6.55636792754774,97.9496499809247,2.100749,170.3125,223.192266540087,1.03487987117227
"lambda[58]",51.1037188125,1.59275679912593,35.1634114375673,21.34764,89.49813,487.397244062551,1.01381433342191
"lambda[59]",26.5724709025,0.462421979594145,22.201271645479,10.07783,49.84884,2305.04158201968,1.00270152882322
"lambda[60]",10.65980565,0.724036883790415,18.5054501385916,4.913104,12.72237,653.247755457007,1.00160966199216
"lambda[61]",37.1734792775,0.535292444007603,26.0400882899544,17.44093,63.89779,2366.47912912496,1.00425897458002
"lambda[62]",37.35431853,0.402116969855523,21.434196861744,19.69805,59.87217,2841.25117125806,1.00569858380262
"lambda[63]",11.1483245825,0.334514359380245,10.9750194732991,5.811257,15.62584,1076.41829100705,1.00952142214383
"lambda[64]",30.707754475,0.235387747891705,12.1477564010532,19.82399,42.32417,2663.32669039498,1.0019930197557
"lambda[65]",12.7387440075,0.242665488409971,9.01542529006828,6.27833,19.05234,1380.24570937498,1.00516198399015
"lambda[66]",33.37557532,0.743629132261168,35.966438407762,7.135671,70.10187,2339.27929540921,1.00021793121364
"lambda[67]",9.9929295575,0.108307282553422,4.75511477404968,6.344982,14.00415,1927.55460111434,1.00301786218685
"lambda[68]",21.124067215,0.0840825170067949,5.81210395169156,14.13773,28.69078,4778.10114474645,1.00011943143078
"lambda[69]",11.37513693,0.0537695746189744,3.1933960141246,7.572466,15.5839,3527.21844063208,1.00557260769342
"lambda[70]",12.0667207375,0.110074889035979,5.72735633153493,7.267953,17.44427,2707.27202204844,0.999936670688181
"lambda[71]",33.563457805,0.520711925558898,22.9656452290328,17.50271,54.55691,1945.19101494296,1.00290819238939
"lambda[72]",44.7000289475,0.555528912910306,27.5374420532639,21.25184,75.66429,2457.16238552107,1.00659864232407
"lambda[73]",32.6209884075,0.421661309266909,20.8777952523529,16.51104,52.96614,2451.55568594715,1.00344470979214
"lambda[74]",8.1805651925,0.202131213749881,7.4838126172441,4.926986,10.82692,1370.8156128422,1.0101849493916
"lambda[75]",31.974297925,0.19243241132853,11.3047122967963,20.76651,44.83022,3451.14005509795,1.00111131510263
"lambda[76]",48.3543782775,1.01366702122713,34.1089345355609,17.50427,88.19012,1132.25871560951,1.01053799803022
"lambda[77]",14.2388005425,0.0824514978459967,4.35077421977598,9.779118,19.11518,2784.42800895816,1.00105449796495
"lambda[78]",27.172523325,0.764263966463197,31.8911749325386,7.995144,57.99758,1741.22250495337,0.99970125785446
"lambda[79]",44.7887513575,0.685849665583561,30.8922447172155,18.48733,81.90372,2028.80856929631,1.00778326296865
"lambda[80]",26.5166573675,0.573007507513706,26.5063665802416,7.393523,55.1763,2139.83248168725,1.00326666943309
"lambda[81]",19.4868204275,0.180396035096252,10.8120885613107,10.77958,29.05386,3592.23890961711,1.00065593402975
"lambda[82]",63.4888035425,2.2486531604312,49.8809485618021,23.6887,118.1117,492.067248832025,1.01494993405444
