"","mean","se_mean","sd","10%","90%","n_eff","Rhat"
"phi[20]",0.09394724825,0.000992448183823667,0.0627931595267934,0.03281435,0.1764056,4003.21567808745,1.004176457149
"phi[21]",0.5024893866525,0.00348516113587745,0.23358093956603,0.1860893,0.8233743,4491.88963514563,1.0011483842399
"phi[22]",0.46569321421,0.00294362759400749,0.167857939104028,0.2686809,0.6934751,3251.75669128696,1.00316415227983
"phi[23]",0.2892707176,0.00290754640400445,0.151909813068848,0.1146099,0.5090818,2729.7215553063,1.00729935172087
"phi[24]",0.5303054038,0.0100509955163488,0.191950293892987,0.2707444,0.7808534,364.719853114129,1.01445621815271
"phi[25]",0.599065108245,0.0035931018276763,0.199046737310925,0.3277601,0.846776,3068.81759876691,1.00042062803129
"phi[26]",0.62335185518,0.00451319414618335,0.218682310402013,0.2957326,0.8747662,2347.79014268656,1.00136663402192
"phi[27]",0.59710252325,0.00175759148330201,0.108572563760115,0.4598038,0.7428952,3815.96433686637,1.0026476005041
"phi[28]",0.21986503543,0.00290848508609398,0.168457956425894,0.04691895,0.4722952,3354.66666735658,1.00215011123715
"phi[29]",0.123360338685,0.00471346437327952,0.163606491515801,0.01993526,0.2662605,1204.81566411131,1.00778443289057
"phi[30]",0.13495580679,0.00155878645245981,0.0928602383095999,0.04652798,0.2348054,3548.8393699238,1.00119545981713
"phi[31]",0.6463887745,0.00310221833136079,0.123991224034252,0.4819444,0.8085122,1597.48642040551,1.00957386104918
"phi[32]",0.3252412889,0.00216644202616808,0.158905503577922,0.1365299,0.5404977,5380.01806841285,0.999646302099819
"phi[33]",0.2851610029985,0.00816298375265703,0.247631751931826,0.02351994,0.6691928,920.269007363568,1.01873456343593
"phi[34]",0.0981775765775,0.00237320575622736,0.0991598918856086,0.01709106,0.2090189,1745.82739112185,1.00541302218784
"phi[35]",0.641595272,0.00267008335567481,0.134186962027777,0.4639141,0.818194,2525.63741260637,1.00883314112578
"phi[36]",0.53423996532,0.0062212945513727,0.290576106784206,0.09084835,0.8933964,2181.5153528392,1.00146995136878
"phi[37]",0.2424694078,0.0013101832918273,0.101227818516167,0.1259733,0.3747729,5969.46818693234,1.00121070393433
"phi[38]",0.7718744082915,0.0256310384029776,0.266325903440659,0.3898198,0.9669844,107.967840549876,1.05205135378723
"phi[39]",0.304202579475,0.00325029230696956,0.182376636954524,0.1110983,0.5645827,3148.42655073843,1.0009268132483
"phi[40]",0.1506007167825,0.00101364309987332,0.0761682873816469,0.06118965,0.2478994,5646.48585769156,0.999389394634808
"phi[41]",0.537177764225,0.00309472839377289,0.125024738038417,0.3806414,0.7087171,1632.10023541327,1.00961663554636
"phi[42]",0.2758553063525,0.00166541326225501,0.134198651284412,0.1179897,0.4497024,6493.10259018612,0.99919009394096
